,t,ipi,t,ipi,t,ipi,t,ipi,t,ipi,t,ipi
0,2022-09-10 10:00:00,10.0,2022-09-09 10:00:00,14,2022-09-09 10:00:00,23,2022-09-09 10:00:00,24,2022-09-09 10:00:00,13,2022-09-09 10:00:00,26
1,2022-09-11 10:00:00,243.0,2022-09-10 10:00:00,236,2022-09-10 10:00:00,243,2022-09-10 10:00:00,251,2022-09-10 10:00:00,269,2022-09-10 10:00:00,238
2,2022-09-12 10:00:00,199.0,2022-09-11 10:00:00,180,2022-09-11 10:00:00,199,2022-09-11 10:00:00,217,2022-09-11 10:00:00,204,2022-09-11 10:00:00,194
3,2022-09-13 10:00:00,170.0,2022-09-12 10:00:00,167,2022-09-12 10:00:00,164,2022-09-12 10:00:00,189,2022-09-12 10:00:00,171,2022-09-12 10:00:00,191
4,2022-09-14 10:00:00,182.0,2022-09-13 10:00:00,172,2022-09-13 10:00:00,181,2022-09-13 10:00:00,190,2022-09-13 10:00:00,181,2022-09-13 10:00:00,183
5,2022-09-15 10:00:00,190.0,2022-09-14 10:00:00,183,2022-09-14 10:00:00,184,2022-09-14 10:00:00,187,2022-09-14 10:00:00,180,2022-09-14 10:00:00,201
6,2022-09-16 10:00:00,173.0,2022-09-15 10:00:00,197,2022-09-15 10:00:00,193,2022-09-15 10:00:00,212,2022-09-15 10:00:00,219,2022-09-15 10:00:00,196
7,2022-09-17 10:00:00,168.0,2022-09-16 10:00:00,188,2022-09-16 10:00:00,169,2022-09-16 10:00:00,187,2022-09-16 10:00:00,190,2022-09-16 10:00:00,211
8,2022-09-18 10:00:00,176.0,2022-09-17 10:00:00,193,2022-09-17 10:00:00,182,2022-09-17 10:00:00,197,2022-09-17 10:00:00,179,2022-09-17 10:00:00,218
9,2022-09-19 10:00:00,183.0,2022-09-18 10:00:00,186,2022-09-18 10:00:00,174,2022-09-18 10:00:00,173,2022-09-18 10:00:00,181,2022-09-18 10:00:00,186
10,2022-09-20 10:00:00,178.0,2022-09-19 10:00:00,180,2022-09-19 10:00:00,184,2022-09-19 10:00:00,189,2022-09-19 10:00:00,174,2022-09-19 10:00:00,181
11,2022-09-21 10:00:00,165.0,2022-09-20 10:00:00,174,2022-09-20 10:00:00,182,2022-09-20 10:00:00,208,2022-09-20 10:00:00,184,2022-09-20 10:00:00,191
12,2022-09-22 10:00:00,184.0,2022-09-21 10:00:00,186,2022-09-21 10:00:00,187,2022-09-21 10:00:00,205,2022-09-21 10:00:00,188,2022-09-21 10:00:00,194
13,2022-09-23 10:00:00,182.0,2022-09-22 10:00:00,183,2022-09-22 10:00:00,181,2022-09-22 10:00:00,211,2022-09-22 10:00:00,192,2022-09-22 10:00:00,197
14,2022-09-24 10:00:00,188.0,2022-09-23 10:00:00,183,2022-09-23 10:00:00,193,2022-09-23 10:00:00,220,2022-09-23 10:00:00,184,2022-09-23 10:00:00,195
15,2022-09-25 10:00:00,196.0,2022-09-24 10:00:00,161,2022-09-24 10:00:00,192,2022-09-24 10:00:00,204,2022-09-24 10:00:00,179,2022-09-24 10:00:00,208
16,2022-09-26 10:00:00,186.0,2022-09-25 10:00:00,175,2022-09-25 10:00:00,187,2022-09-25 10:00:00,205,2022-09-25 10:00:00,195,2022-09-25 10:00:00,211
17,2022-09-27 10:00:00,185.0,2022-09-26 10:00:00,179,2022-09-26 10:00:00,187,2022-09-26 10:00:00,180,2022-09-26 10:00:00,198,2022-09-26 10:00:00,205
18,2022-09-28 10:00:00,176.0,2022-09-27 10:00:00,186,2022-09-27 10:00:00,195,2022-09-27 10:00:00,184,2022-09-27 10:00:00,192,2022-09-27 10:00:00,213
19,2022-09-29 10:00:00,176.0,2022-09-28 10:00:00,175,2022-09-28 10:00:00,184,2022-09-28 10:00:00,182,2022-09-28 10:00:00,169,2022-09-28 10:00:00,214
20,2022-09-30 10:00:00,160.0,2022-09-29 10:00:00,179,2022-09-29 10:00:00,193,2022-09-29 10:00:00,152,2022-09-29 10:00:00,192,2022-09-29 10:00:00,217
21,2022-10-01 10:00:00,165.0,2022-09-30 10:00:00,184,2022-09-30 10:00:00,204,2022-09-30 10:00:00,217,2022-09-30 10:00:00,186,2022-09-30 10:00:00,191
22,2022-10-02 10:00:00,152.0,2022-10-01 10:00:00,174,2022-10-01 10:00:00,179,2022-10-01 10:00:00,143,2022-10-01 10:00:00,179,2022-10-01 10:00:00,209
