,t,ipi,t,ipi,t,ipi,t,ipi,t,ipi,t,ipi
0,2022-09-09 10:00:00,29,2022-09-09 10:00:00,25,2022-09-09 10:00:00,34,2022-09-10 10:00:00,24.0,2022-09-09 10:00:00,32,2022-09-09 10:00:00,17
1,2022-09-10 10:00:00,211,2022-09-10 10:00:00,273,2022-09-10 10:00:00,200,2022-09-11 10:00:00,245.0,2022-09-10 10:00:00,242,2022-09-10 10:00:00,247
2,2022-09-11 10:00:00,134,2022-09-11 10:00:00,209,2022-09-11 10:00:00,166,2022-09-12 10:00:00,220.0,2022-09-11 10:00:00,200,2022-09-11 10:00:00,178
3,2022-09-12 10:00:00,158,2022-09-12 10:00:00,192,2022-09-12 10:00:00,161,2022-09-13 10:00:00,205.0,2022-09-12 10:00:00,179,2022-09-12 10:00:00,193
4,2022-09-13 10:00:00,156,2022-09-13 10:00:00,188,2022-09-13 10:00:00,162,2022-09-14 10:00:00,215.0,2022-09-13 10:00:00,167,2022-09-13 10:00:00,169
5,2022-09-14 10:00:00,140,2022-09-14 10:00:00,184,2022-09-14 10:00:00,181,2022-09-15 10:00:00,204.0,2022-09-14 10:00:00,119,2022-09-14 10:00:00,161
6,2022-09-15 10:00:00,166,2022-09-15 10:00:00,183,2022-09-15 10:00:00,163,2022-09-16 10:00:00,206.0,2022-09-15 10:00:00,172,2022-09-15 10:00:00,182
7,2022-09-16 10:00:00,158,2022-09-16 10:00:00,194,2022-09-16 10:00:00,171,2022-09-17 10:00:00,195.0,2022-09-16 10:00:00,219,2022-09-16 10:00:00,173
8,2022-09-17 10:00:00,167,2022-09-17 10:00:00,179,2022-09-17 10:00:00,166,2022-09-18 10:00:00,191.0,2022-09-17 10:00:00,203,2022-09-17 10:00:00,158
9,2022-09-18 10:00:00,166,2022-09-18 10:00:00,177,2022-09-18 10:00:00,167,2022-09-19 10:00:00,155.0,2022-09-18 10:00:00,193,2022-09-18 10:00:00,161
10,2022-09-19 10:00:00,133,2022-09-19 10:00:00,169,2022-09-19 10:00:00,157,2022-09-20 10:00:00,169.0,2022-09-19 10:00:00,184,2022-09-19 10:00:00,139
11,2022-09-20 10:00:00,134,2022-09-20 10:00:00,155,2022-09-20 10:00:00,159,2022-09-21 10:00:00,188.0,2022-09-20 10:00:00,196,2022-09-20 10:00:00,141
12,2022-09-21 10:00:00,136,2022-09-21 10:00:00,161,2022-09-21 10:00:00,179,2022-09-22 10:00:00,199.0,2022-09-21 10:00:00,245,2022-09-21 10:00:00,159
13,2022-09-22 10:00:00,155,2022-09-22 10:00:00,174,2022-09-22 10:00:00,183,2022-09-23 10:00:00,205.0,2022-09-22 10:00:00,260,2022-09-22 10:00:00,167
14,2022-09-23 10:00:00,163,2022-09-23 10:00:00,179,2022-09-23 10:00:00,187,2022-09-24 10:00:00,202.0,2022-09-23 10:00:00,270,2022-09-23 10:00:00,176
15,2022-09-24 10:00:00,170,2022-09-24 10:00:00,184,2022-09-24 10:00:00,173,2022-09-25 10:00:00,234.0,2022-09-24 10:00:00,312,2022-09-24 10:00:00,189
16,2022-09-25 10:00:00,204,2022-09-25 10:00:00,213,2022-09-25 10:00:00,238,2022-09-26 10:00:00,236.0,2022-09-25 10:00:00,313,2022-09-25 10:00:00,181
17,2022-09-26 10:00:00,212,2022-09-26 10:00:00,221,2022-09-26 10:00:00,232,2022-09-27 10:00:00,225.0,2022-09-26 10:00:00,241,2022-09-26 10:00:00,195
18,2022-09-27 10:00:00,187,2022-09-27 10:00:00,200,2022-09-27 10:00:00,196,2022-09-28 10:00:00,209.0,2022-09-27 10:00:00,230,2022-09-27 10:00:00,211
19,2022-09-28 10:00:00,174,2022-09-28 10:00:00,197,2022-09-28 10:00:00,190,2022-09-29 10:00:00,205.0,2022-09-28 10:00:00,218,2022-09-28 10:00:00,192
20,2022-09-29 10:00:00,168,2022-09-29 10:00:00,172,2022-09-29 10:00:00,173,2022-09-30 10:00:00,198.0,2022-09-29 10:00:00,222,2022-09-29 10:00:00,174
21,2022-09-30 10:00:00,168,2022-09-30 10:00:00,183,2022-09-30 10:00:00,180,2022-10-01 10:00:00,209.0,2022-09-30 10:00:00,231,2022-09-30 10:00:00,167
22,2022-10-01 10:00:00,168,2022-10-01 10:00:00,167,2022-10-01 10:00:00,180,2022-10-02 10:00:00,212.0,2022-10-01 10:00:00,214,2022-10-01 10:00:00,172
23,2022-10-02 10:00:00,186,2022-10-02 10:00:00,179,2022-10-02 10:00:00,203,2022-10-03 10:00:00,164.0,2022-10-02 10:00:00,235,2022-10-02 10:00:00,177
24,2022-10-03 10:00:00,132,2022-10-03 10:00:00,158,2022-10-03 10:00:00,153,2022-10-04 10:00:00,197.0,2022-10-03 10:00:00,206,2022-10-03 10:00:00,163
25,2022-10-04 10:00:00,108,2022-10-04 10:00:00,165,2022-10-04 10:00:00,158,2022-10-05 10:00:00,219.0,2022-10-04 10:00:00,231,2022-10-04 10:00:00,172
26,2022-10-05 10:00:00,131,2022-10-05 10:00:00,163,2022-10-05 10:00:00,168,2022-10-06 10:00:00,223.0,2022-10-05 10:00:00,227,2022-10-05 10:00:00,172
27,2022-10-06 10:00:00,172,2022-10-06 10:00:00,188,2022-10-06 10:00:00,171,2022-10-07 10:00:00,77.0,2022-10-06 10:00:00,265,2022-10-06 10:00:00,169
28,2022-10-07 10:00:00,178,2022-10-07 10:00:00,192,2022-10-07 10:00:00,187,2022-10-08 10:00:00,260.0,2022-10-07 10:00:00,270,2022-10-07 10:00:00,175
29,2022-10-08 10:00:00,161,2022-10-08 10:00:00,195,2022-10-08 10:00:00,185,2022-10-09 10:00:00,247.0,2022-10-08 10:00:00,272,2022-10-08 10:00:00,171
30,2022-10-09 10:00:00,162,2022-10-09 10:00:00,197,2022-10-09 10:00:00,179,,,2022-10-09 10:00:00,280,2022-10-09 10:00:00,181
