MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2022-09-26 10:03:17,1.16.3,Free_feed,10,3.62,,0,Poke,Left,0,1,0,0,,,0.21,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-09-26 10:06:00,1.16.3,Free_feed,10,3.62,,0,Poke,Left,0,2,0,0,,,0.2,0 days 00:02:43.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-09-26 10:07:51,1.16.3,Free_feed,10,3.61,,0,Poke,Left,0,3,0,0,,,0.27,0 days 00:04:34.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-09-26 10:23:11,1.16.3,Free_feed,10,3.64,1.0,0,Pellet,Left,0,3,1,0,,,,0 days 00:19:54.000000000,1.0,,0.0,0.0,,0,Free_feed
2022-09-26 10:23:43,1.16.3,Free_feed,10,3.64,1.0,0,Pellet,Left,0,3,2,0,20.01,32.0,,0 days 00:20:26.000000000,1.0,0.5333333333333333,0.0,0.0,,0,Free_feed
2022-09-26 10:23:57,1.16.3,Free_feed,10,3.65,1.0,0,Pellet,Left,0,3,3,0,2.24,14.0,,0 days 00:20:40.000000000,1.0,0.23333333333333334,0.0,0.0,,0,Free_feed
2022-09-26 10:27:15,1.16.3,Free_feed,10,3.65,,0,Poke,Left,1,3,3,0,,,0.57,0 days 00:23:58.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2022-09-26 10:46:30,1.16.3,Free_feed,10,3.66,1.0,0,Pellet,Left,1,3,4,0,,1353.0,,0 days 00:43:13.000000000,1.0,22.55,0.0,0.0,,0,Free_feed
2022-09-26 11:01:12,1.16.3,Free_feed,10,3.66,1.0,0,Pellet,Left,1,3,5,0,,882.0,,0 days 00:57:55.000000000,1.0,14.7,0.0,0.0,,0,Free_feed
2022-09-26 11:03:58,1.16.3,Free_feed,10,3.67,1.0,0,Pellet,Left,1,3,6,0,,166.0,,0 days 01:00:41.000000000,1.0,2.7666666666666666,0.0,0.0,,0,Free_feed
2022-09-26 11:04:37,1.16.3,Free_feed,10,3.67,1.0,0,Pellet,Left,1,3,7,0,26.71,38.0,,0 days 01:01:20.000000000,1.0,0.65,0.0,0.0,,0,Free_feed
2022-09-26 13:14:29,1.16.3,Free_feed,10,3.69,1.0,0,Pellet,Left,1,3,8,0,,7793.0,,0 days 03:11:12.000000000,1.0,129.86666666666667,0.0,0.0,,0,Free_feed
2022-09-26 13:14:42,1.16.3,Free_feed,10,3.69,2.0,0,Pellet,Left,1,3,9,0,1.15,13.0,,0 days 03:11:25.000000000,1.0,0.21666666666666667,0.0,0.0,,0,Free_feed
2022-09-26 13:15:00,1.16.3,Free_feed,10,3.69,2.0,0,Pellet,Left,1,3,10,0,6.06,18.0,,0 days 03:11:43.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2022-09-26 13:15:18,1.16.3,Free_feed,10,3.69,1.0,0,Pellet,Left,1,3,11,0,6.2,18.0,,0 days 03:12:01.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2022-09-26 15:56:24,1.16.3,Free_feed,10,3.74,1.0,0,Pellet,Left,1,3,12,0,,9666.0,,0 days 05:53:07.000000000,1.0,161.1,0.0,0.0,,0,Free_feed
2022-09-26 15:56:37,1.16.3,Free_feed,10,3.74,2.0,0,Pellet,Left,1,3,13,0,0.2,13.0,,0 days 05:53:20.000000000,1.0,0.21666666666666667,0.0,0.0,,0,Free_feed
2022-09-26 15:56:49,1.16.3,Free_feed,10,3.75,1.0,0,Pellet,Left,1,3,14,0,0.4,12.0,,0 days 05:53:32.000000000,1.0,0.2,0.0,0.0,,0,Free_feed
2022-09-26 15:57:04,1.16.3,Free_feed,10,3.75,2.0,0,Pellet,Left,1,3,15,0,1.08,15.0,,0 days 05:53:47.000000000,1.0,0.25,0.0,0.0,,0,Free_feed
2022-09-26 15:57:18,1.16.3,Free_feed,10,3.74,1.0,0,Pellet,Left,1,3,16,0,1.76,14.0,,0 days 05:54:01.000000000,1.0,0.23333333333333334,0.0,0.0,,0,Free_feed
2022-09-26 15:57:37,1.16.3,Free_feed,10,3.75,1.0,0,Pellet,Left,1,3,17,0,7.3,19.0,,0 days 05:54:20.000000000,1.0,0.31666666666666665,0.0,0.0,,0,Free_feed
2022-09-26 17:11:12,1.16.3,Free_feed,10,3.8,1.0,0,Pellet,Left,1,3,18,0,,4414.0,,0 days 07:07:55.000000000,1.0,73.58333333333333,0.0,0.0,,0,Free_feed
2022-09-26 17:11:37,1.16.3,Free_feed,10,3.8,1.0,0,Pellet,Left,1,3,19,0,13.58,26.0,,0 days 07:08:20.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2022-09-26 17:12:28,1.16.3,Free_feed,10,3.8,1.0,0,Pellet,Left,1,3,20,0,39.94,51.0,,0 days 07:09:11.000000000,1.0,0.85,0.0,0.0,,0,Free_feed
2022-09-26 17:12:41,1.16.3,Free_feed,10,3.8,1.0,0,Pellet,Left,1,3,21,0,1.08,13.0,,0 days 07:09:24.000000000,1.0,0.21666666666666667,0.0,0.0,,0,Free_feed
2022-09-26 17:12:55,1.16.3,Free_feed,10,3.8,1.0,0,Pellet,Left,1,3,22,0,1.29,14.0,,0 days 07:09:38.000000000,1.0,0.23333333333333334,0.0,0.0,,0,Free_feed
2022-09-26 17:26:39,1.16.3,Free_feed,10,3.81,1.0,0,Pellet,Left,1,3,23,0,,824.0,,0 days 07:23:22.000000000,1.0,13.733333333333333,0.0,0.0,,0,Free_feed
2022-09-26 17:26:55,1.16.3,Free_feed,10,3.8,1.0,0,Pellet,Left,1,3,24,0,4.57,16.0,,0 days 07:23:38.000000000,1.0,0.26666666666666666,0.0,0.0,,0,Free_feed
2022-09-26 19:05:34,1.16.3,Free_feed,10,3.86,1.0,0,Pellet,Left,1,3,25,0,,5919.0,,0 days 09:02:17.000000000,1.0,98.65,0.0,0.0,,0,Free_feed
