MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/19/2022 9:17:54,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.23
9/19/2022 9:17:55,1.16.3,Free_feed,11,3.79,1,0,Pellet,Left,1,0,1,0,Timed_out,nan,nan
9/19/2022 9:18:09,1.16.3,Free_feed,11,3.78,3,0,Pellet,Left,1,0,2,0,0.06,14,nan
9/19/2022 9:18:18,1.16.3,Free_feed,11,3.79,1,0,Pellet,Left,1,0,3,0,0.06,9,nan
9/19/2022 9:18:37,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,2,0,3,0,nan,nan,0.48
9/19/2022 9:18:38,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,3,0,3,0,nan,nan,0.96
9/19/2022 9:18:39,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,4,0,3,0,nan,nan,0.14
9/19/2022 9:18:40,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,5,0,3,0,nan,nan,0.27
9/19/2022 9:53:01,1.16.3,Free_feed,11,3.79,1,0,Pellet,Left,5,0,4,0,Timed_out,2083,nan
9/19/2022 9:53:12,1.16.3,Free_feed,11,3.79,2,0,Pellet,Left,5,0,5,0,0.20,11,nan
9/19/2022 9:53:38,1.16.3,Free_feed,11,3.79,3,0,Pellet,Left,5,0,6,0,11.33,26,nan
9/19/2022 9:53:52,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,6,0,6,0,nan,nan,0.16
9/19/2022 10:19:57,1.16.3,Free_feed,11,3.78,nan,0,RightWithPellet,Left,6,1,6,0,nan,nan,0.33
9/19/2022 10:19:58,1.16.3,Free_feed,11,3.79,2,0,Pellet,Left,6,1,7,0,Timed_out,1580,nan
9/19/2022 10:21:32,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,7,1,7,0,nan,nan,0.09
9/19/2022 10:21:36,1.16.3,Free_feed,11,3.78,nan,0,LeftWithPellet,Left,8,1,7,0,nan,nan,0.01
9/19/2022 10:26:22,1.16.3,Free_feed,11,3.79,nan,0,LeftWithPellet,Left,9,1,7,0,nan,nan,0.23
9/19/2022 10:28:43,1.16.3,Free_feed,11,3.79,2,0,Pellet,Left,9,1,8,0,Timed_out,525,nan
9/19/2022 10:33:14,1.16.3,Free_feed,11,3.79,nan,0,RightWithPellet,Left,9,2,8,0,nan,nan,0.59
9/19/2022 10:33:31,1.16.3,Free_feed,11,3.78,nan,0,RightWithPellet,Left,9,3,8,0,nan,nan,0.71
9/19/2022 10:33:37,1.16.3,Free_feed,11,3.78,nan,0,RightWithPellet,Left,9,4,8,0,nan,nan,0.54
9/19/2022 10:33:42,1.16.3,Free_feed,11,3.78,nan,0,LeftWithPellet,Left,10,4,8,0,nan,nan,0.53
