mouse_id,sex,order,epoch_E1_meal_size,epoch_E1_snack_size,epoch_E1_number_of_meals,epoch_E1_meal_frequency,epoch_E1_number_of_snacks,epoch_E1_snack_frequency,epoch_E1_mega_meal_frequency,epoch_E1_mega_meal_size,epoch_E1_number_of_mega_meals,epoch_E1_pellets_per_day,epoch_E1_meals_per_day,epoch_E1_snacks_per_day,epoch_E1_mega_meals_per_day,epoch_E2_meal_size,epoch_E2_snack_size,epoch_E2_number_of_meals,epoch_E2_meal_frequency,epoch_E2_number_of_snacks,epoch_E2_snack_frequency,epoch_E2_mega_meal_frequency,epoch_E2_mega_meal_size,epoch_E2_number_of_mega_meals,epoch_E2_pellets_per_day,epoch_E2_meals_per_day,epoch_E2_snacks_per_day,epoch_E2_mega_meals_per_day,epoch_E3_meal_size,epoch_E3_snack_size,epoch_E3_number_of_meals,epoch_E3_meal_frequency,epoch_E3_number_of_snacks,epoch_E3_snack_frequency,epoch_E3_mega_meal_frequency,epoch_E3_mega_meal_size,epoch_E3_number_of_mega_meals,epoch_E3_pellets_per_day,epoch_E3_meals_per_day,epoch_E3_snacks_per_day,epoch_E3_mega_meals_per_day,epoch_E4_meal_size,epoch_E4_snack_size,epoch_E4_number_of_meals,epoch_E4_meal_frequency,epoch_E4_number_of_snacks,epoch_E4_snack_frequency,epoch_E4_mega_meal_frequency,epoch_E4_mega_meal_size,epoch_E4_number_of_mega_meals,epoch_E4_pellets_per_day,epoch_E4_meals_per_day,epoch_E4_snacks_per_day,epoch_E4_mega_meals_per_day
FEDXC01,M,2,2.8686567164179104,1.0,335,1.552441233148096,167,0.7739035401066627,0.20390272912989918,7.9772727272727275,44,"[221, 150, 147, 147, 146, 167, 158, 167, 162]","[58, 31, 35, 35, 44, 34, 34, 32, 29]","[42, 26, 24, 19, 14, 12, 4, 13, 8]","[4, 4, 3, 4, 0, 6, 7, 8, 8]",2.720689655172414,1.0,290,1.7271642907128524,162,0.9648297072258003,0.1131590397363593,6.947368421052632,19,"[122, 132, 137, 150, 164, 176, 182]","[32, 37, 35, 43, 43, 49, 44]","[16, 14, 17, 29, 27, 24, 30]","[2, 2, 3, 2, 2, 2, 6]",3.2551440329218106,1.0,243,1.4468879009209274,65,0.38702762781835504,0.3393934582407114,7.421052631578948,57,"[210, 187, 176, 163, 178, 162, 185]","[38, 35, 33, 32, 37, 24, 38]","[20, 12, 5, 1, 10, 9, 6]","[10, 8, 8, 7, 7, 9, 8]",2.718213058419244,1.0,291,1.7451710437542167,168,1.007521427322022,0.08396011894350183,6.571428571428571,14,"[118, 124, 115, 165, 183, 162, 169]","[35, 38, 33, 43, 53, 46, 40]","[16, 5, 26, 36, 33, 24, 28]","[1, 1, 0, 1, 2, 4, 4]"
FEDXC02,M,2,2.758241758241758,1.0,364,1.6894457344202651,411,1.907588452875629,0.23670805619624594,7.529411764705882,51,"[271, 217, 188, 189, 185, 182, 199, 177, 177]","[54, 45, 43, 43, 36, 39, 35, 27, 38]","[54, 53, 44, 52, 35, 36, 48, 48, 37]","[7, 6, 5, 3, 7, 5, 6, 6, 6]",2.563517915309446,1.0,307,1.8298225310558234,338,2.01459288435462,0.08940500966070798,6.8,15,"[153, 159, 162, 166, 182, 181, 206]","[41, 45, 39, 36, 45, 50, 47]","[54, 48, 64, 57, 47, 32, 30]","[0, 0, 1, 3, 1, 3, 7]",2.7103658536585367,1.0,328,1.9532723266570065,196,1.167199317148699,0.19651825237707685,7.515151515151516,33,"[208, 206, 189, 179, 185, 167, 186]","[48, 52, 52, 50, 46, 37, 41]","[27, 27, 20, 18, 38, 22, 38]","[6, 6, 3, 4, 2, 6, 6]",2.6055900621118013,1.0,322,1.9294177958498877,359,2.151121082950651,0.05392782659207761,7.0,9,"[143, 167, 160, 185, 192, 189, 210]","[41, 45, 36, 51, 47, 45, 54]","[29, 45, 68, 54, 77, 45, 36]","[1, 2, 1, 1, 0, 2, 2]"
FEDXC03,M,2,2.549520766773163,1.0,313,1.4518261210164327,481,2.2310810358111954,0.1855368844749435,7.175,40,"[220, 161, 161, 163, 175, 168, 166, 171, 165]","[51, 35, 34, 35, 41, 30, 27, 22, 37]","[46, 48, 60, 54, 64, 37, 51, 66, 50]","[5, 4, 2, 3, 1, 8, 6, 7, 3]",2.567685589519651,1.0,229,1.3681647772251349,369,2.204597392122597,0.1792355603351705,9.2,30,"[144, 165, 180, 181, 192, 169, 149]","[32, 37, 37, 39, 33, 34, 16]","[62, 66, 52, 56, 58, 43, 30]","[1, 1, 5, 4, 6, 5, 7]",2.7644927536231885,1.0,276,1.6491395793499042,294,1.7566921606118546,0.24498087954110898,8.390243902439025,41,"[262, 202, 188, 173, 175, 184, 198]","[27, 46, 47, 31, 33, 39, 52]","[27, 37, 51, 52, 52, 40, 33]","[15, 4, 2, 6, 5, 4, 3]",2.650735294117647,1.0,272,1.632555068723366,392,2.3527999519836746,0.08402856971370266,6.642857142857143,14,"[150, 153, 164, 168, 190, 187, 187]","[34, 29, 35, 43, 44, 42, 45]","[53, 50, 64, 51, 62, 55, 56]","[1, 3, 1, 0, 2, 3, 3]"
FEDXC04,M,2,2.6824146981627295,1.0,381,1.9900035546141068,475,2.4809755602144374,0.13580076750647446,7.923076923076923,26,"[245, 228, 205, 219, 197, 205, 200, 191, 13]","[54, 55, 47, 49, 44, 46, 42, 42, 2]","[35, 83, 78, 59, 64, 43, 52, 53, 8]","[8, 0, 1, 4, 2, 4, 4, 3, 0]",2.7941176470588234,1.0,340,2.0237559852913947,278,1.6547181291500226,0.10118779926456972,6.705882352941177,17,"[150, 162, 180, 197, 202, 214, 212]","[31, 37, 44, 58, 51, 52, 61]","[56, 50, 40, 29, 38, 40, 21]","[2, 3, 3, 1, 1, 4, 2]",2.796747967479675,1.0,369,2.2021451187772496,266,1.5874542048638167,0.1730683155678597,7.241379310344827,29,"[233, 225, 206, 212, 202, 204, 205]","[60, 60, 50, 50, 53, 43, 47]","[46, 37, 27, 31, 35, 37, 49]","[4, 2, 5, 5, 3, 6, 4]",2.7857142857142856,1.0,336,2.0125585249223827,302,1.8089067694242846,0.12578490780764892,7.238095238095238,21,"[145, 193, 211, 231, 101, 234, 261]","[33, 50, 51, 57, 29, 51, 61]","[46, 49, 39, 38, 35, 36, 57]","[3, 1, 4, 3, 0, 6, 4]"
FEDXC05,M,2,2.745721271393643,1.0,409,1.8972050885916434,370,1.7162980019044207,0.1437979407001001,7.354838709677419,31,"[250, 208, 186, 163, 132, 152, 219, 207, 191]","[51, 48, 38, 44, 31, 41, 53, 53, 46]","[28, 51, 52, 43, 30, 38, 50, 40, 36]","[9, 4, 4, 1, 3, 1, 3, 3, 3]",2.8409638554216867,1.0,415,2.4668608452713547,323,1.919990489211199,0.2139927480235392,7.5,36,"[164, 202, 228, 261, 265, 313, 295]","[40, 51, 58, 68, 59, 66, 68]","[62, 52, 49, 39, 42, 32, 43]","[0, 1, 3, 5, 5, 13, 6]",3.0,1.0,358,2.1393996135535147,191,1.1414115256668194,0.2689189458377323,7.4,45,"[222, 240, 211, 230, 218, 230, 219]","[48, 47, 46, 58, 50, 45, 57]","[30, 24, 23, 21, 28, 31, 29]","[6, 12, 6, 5, 5, 7, 4]",2.9566326530612246,1.0,392,2.3458187675475126,199,1.1908620784233546,0.3291327352426357,7.327272727272727,55,"[189, 219, 219, 264, 282, 275, 283]","[43, 55, 59, 59, 60, 56, 57]","[42, 36, 28, 22, 35, 13, 17]","[4, 4, 3, 10, 9, 10, 13]"
FEDXC06,M,2,2.8657142857142857,1.0,350,1.6230336818132636,209,0.9691829699970631,0.25504814999922715,7.763636363636364,55,"[247, 186, 193, 167, 167, 169, 177, 155, 160]","[42, 32, 39, 37, 32, 33, 39, 41, 50]","[24, 22, 41, 37, 24, 18, 12, 14, 15]","[9, 9, 7, 5, 7, 7, 6, 4, 1]",2.705084745762712,1.0,295,1.7542294770017544,227,1.34986471620135,0.10703773080010705,6.833333333333333,18,"[124, 144, 152, 164, 180, 189, 177]","[39, 41, 41, 39, 44, 45, 41]","[26, 31, 42, 39, 20, 22, 42]","[0, 1, 1, 3, 5, 5, 3]",2.92,1.0,325,1.9407812888778302,124,0.7404827071410798,0.17914904205026125,7.2,30,"[188, 208, 192, 174, 165, 180, 168]","[39, 46, 46, 37, 52, 47, 55]","[24, 15, 14, 15, 20, 17, 12]","[7, 8, 6, 5, 1, 2, 1]",2.769230769230769,1.0,338,2.0219308376024636,192,1.148552428460571,0.07178452677878569,6.833333333333333,12,"[147, 176, 170, 172, 171, 177, 178]","[44, 49, 52, 47, 51, 39, 49]","[28, 33, 25, 30, 28, 26, 20]","[0, 1, 0, 2, 2, 4, 3]"
FEDXC07,M,1,2.7536656891495603,1.0,341,1.663906140296185,334,1.6297497092637119,0.15614368471987658,7.375,32,"[1, 229, 204, 183, 173, 192, 167, 173, 167]","[0, 51, 54, 42, 35, 38, 45, 34, 38]","[1, 22, 30, 28, 49, 42, 43, 56, 55]","[0, 5, 5, 5, 4, 5, 2, 4, 2]",2.6893203883495147,1.0,309,1.8442806410218149,379,2.26207884448954,0.06565400340207107,6.363636363636363,11,"[166, 180, 163, 189, 175, 194, 190]","[40, 37, 32, 44, 48, 49, 51]","[58, 64, 66, 57, 48, 44, 39]","[1, 3, 2, 2, 0, 2, 1]",2.5740072202166067,1.0,277,1.6564784053156145,332,1.9853820598006644,0.13156146179401992,7.090909090909091,22,"[162, 189, 174, 175, 160, 167, 154]","[42, 44, 43, 35, 42, 33, 34]","[31, 67, 54, 48, 44, 34, 45]","[3, 2, 2, 5, 1, 6, 3]",2.992565055762082,1.0,269,1.6282635890399906,177,1.0713853355393246,0.19369678382631858,7.21875,32,"[145, 148, 153, 166, 196, 190, 199]","[31, 38, 32, 25, 47, 48, 44]","[33, 26, 22, 20, 28, 19, 24]","[4, 1, 4, 8, 4, 3, 8]"
FEDXC08,M,1,2.5835777126099706,1.0,341,1.5829195297661338,527,2.4463301823658434,0.19496369574832148,7.357142857142857,42,"[231, 182, 168, 172, 189, 194, 184, 195, 183]","[51, 38, 31, 37, 37, 37, 35, 37, 34]","[56, 41, 79, 58, 79, 62, 46, 50, 46]","[7, 6, 2, 2, 3, 2, 6, 8, 6]",2.550359712230216,1.0,278,1.668642427334524,312,1.87272099758407,0.15606008313200584,8.538461538461538,26,"[161, 176, 192, 180, 180, 167, 173]","[33, 37, 37, 42, 41, 43, 40]","[57, 51, 54, 41, 34, 41, 32]","[3, 4, 5, 4, 4, 2, 4]",2.6554054054054053,1.0,296,1.77255828266782,252,1.5090698892982792,0.1796511772974142,7.866666666666666,30,"[162, 184, 178, 185, 179, 177, 193]","[37, 52, 33, 45, 43, 39, 43]","[25, 31, 30, 30, 52, 38, 40]","[5, 2, 6, 4, 2, 4, 7]",3.024822695035461,1.0,282,1.722263031909028,147,0.8977754102504507,0.317580417231452,7.230769230769231,52,"[170, 169, 200, 202, 196, 213, 214]","[43, 50, 43, 37, 32, 42, 32]","[39, 22, 32, 14, 17, 9, 13]","[3, 2, 6, 8, 10, 10, 13]"
FEDXC09,M,1,2.685878962536023,1.0,347,1.6086225879353306,410,1.900677985744915,0.231789998261575,7.42,50,"[249, 195, 174, 176, 188, 186, 172, 181, 175]","[50, 42, 42, 33, 33, 36, 37, 37, 34]","[52, 34, 43, 42, 32, 40, 50, 52, 63]","[9, 6, 3, 6, 8, 6, 4, 5, 2]",2.6123076923076924,1.0,325,1.9483114633983882,294,1.7624725238126957,0.13788050356357823,7.130434782608695,23,"[164, 186, 187, 178, 195, 189, 180]","[39, 47, 54, 44, 45, 48, 41]","[59, 46, 33, 47, 35, 37, 31]","[2, 3, 1, 2, 5, 4, 5]",2.6,1.0,320,1.9298034012784948,299,1.8031600530695937,0.15076589072488242,7.24,25,"[168, 192, 183, 196, 197, 187, 175]","[42, 45, 45, 44, 50, 48, 44]","[38, 42, 37, 41, 51, 40, 50]","[4, 3, 6, 4, 2, 4, 1]",2.93730407523511,1.0,319,1.916702550596341,270,1.6222874252696304,0.18025415836329226,6.633333333333334,30,"[156, 159, 228, 237, 226, 195, 197]","[30, 34, 47, 52, 51, 51, 52]","[22, 19, 38, 46, 59, 43, 41]","[6, 6, 6, 7, 3, 1, 1]"
FEDXC10,M,1,3.0978593272171255,1.0,327,1.5147791333126592,168,0.7782351510597149,0.39374992761949856,7.6117647058823525,85,"[252, 218, 195, 187, 179, 203, 193, 208, 177]","[47, 33, 36, 39, 29, 41, 33, 31, 34]","[20, 25, 21, 15, 12, 19, 19, 15, 17]","[11, 11, 8, 8, 11, 8, 8, 12, 8]",2.8636363636363638,1.0,286,1.703603445594226,144,0.8577583782012885,0.3693126350588881,7.741935483870968,62,"[161, 209, 208, 213, 209, 215, 202]","[34, 37, 33, 51, 45, 41, 40]","[15, 18, 16, 22, 17, 28, 24]","[7, 11, 11, 7, 7, 9, 9]",2.9671532846715327,1.0,274,1.6446496366064596,117,0.7022773995728313,0.2581019502703568,7.744186046511628,43,"[154, 185, 177, 179, 201, 164, 182]","[28, 35, 43, 40, 46, 33, 42]","[15, 14, 23, 18, 19, 17, 9]","[7, 8, 4, 6, 6, 6, 6]",3.221014492753623,1.0,276,1.6682337139019474,115,0.6950973807924781,0.3143049026192075,6.865384615384615,52,"[154, 206, 181, 208, 196, 203, 204]","[46, 47, 38, 33, 46, 38, 27]","[8, 14, 19, 14, 16, 19, 25]","[3, 7, 5, 12, 4, 7, 13]"
