mouse_id,sex,order,epoch_E1_meal_size,epoch_E1_snack_size,epoch_E1_number_of_meals,epoch_E1_meal_frequency,epoch_E1_number_of_snacks,epoch_E1_snack_frequency,epoch_E1_mega_meal_frequency,epoch_E1_mega_meal_size,epoch_E1_number_of_mega_meals,epoch_E1_pellets_per_day,epoch_E1_meals_per_day,epoch_E1_snacks_per_day,epoch_E1_mega_meals_per_day,epoch_E2_meal_size,epoch_E2_snack_size,epoch_E2_number_of_meals,epoch_E2_meal_frequency,epoch_E2_number_of_snacks,epoch_E2_snack_frequency,epoch_E2_mega_meal_frequency,epoch_E2_mega_meal_size,epoch_E2_number_of_mega_meals,epoch_E2_pellets_per_day,epoch_E2_meals_per_day,epoch_E2_snacks_per_day,epoch_E2_mega_meals_per_day,epoch_E3_meal_size,epoch_E3_snack_size,epoch_E3_number_of_meals,epoch_E3_meal_frequency,epoch_E3_number_of_snacks,epoch_E3_snack_frequency,epoch_E3_mega_meal_frequency,epoch_E3_mega_meal_size,epoch_E3_number_of_mega_meals,epoch_E3_pellets_per_day,epoch_E3_meals_per_day,epoch_E3_snacks_per_day,epoch_E3_mega_meals_per_day,epoch_E4_meal_size,epoch_E4_snack_size,epoch_E4_number_of_meals,epoch_E4_meal_frequency,epoch_E4_number_of_snacks,epoch_E4_snack_frequency,epoch_E4_mega_meal_frequency,epoch_E4_mega_meal_size,epoch_E4_number_of_mega_meals,epoch_E4_pellets_per_day,epoch_E4_meals_per_day,epoch_E4_snacks_per_day,epoch_E4_mega_meals_per_day
FEDXC01,M,2,2.8686567164179104,1.0,335,1.552441233148096,167,0.7739035401066627,0.20390272912989918,7.9772727272727275,44,"[235, 136, 157, 153, 143, 163, 157, 163, 172]","[63, 26, 39, 35, 44, 31, 35, 31, 31]","[44, 24, 24, 20, 15, 10, 5, 13, 12]","[4, 4, 3, 4, 0, 7, 6, 8, 8]",2.720689655172414,1.0,290,1.7271642907128524,162,0.9648297072258003,0.1131590397363593,6.947368421052632,19,"[134, 132, 140, 154, 162, 177, 184]","[36, 36, 34, 44, 46, 48, 46]","[18, 13, 20, 26, 28, 24, 33]","[2, 2, 4, 2, 1, 3, 5]",3.2551440329218106,1.0,243,1.4468879009209274,65,0.38702762781835504,0.3393934582407114,7.421052631578948,57,"[230, 183, 176, 166, 176, 161, 187]","[45, 32, 32, 34, 36, 23, 41]","[21, 12, 5, 2, 9, 8, 8]","[10, 8, 9, 6, 7, 10, 7]",2.718213058419244,1.0,291,1.7451710437542167,168,1.007521427322022,0.08396011894350183,6.571428571428571,14,"[139, 108, 127, 169, 179, 162, 167]","[43, 30, 37, 45, 51, 47, 38]","[17, 9, 27, 35, 30, 24, 26]","[1, 1, 0, 1, 3, 3, 5]"
FEDXC02,M,2,2.758241758241758,1.0,364,1.6894457344202651,411,1.907588452875629,0.23670805619624594,7.529411764705882,51,"[297, 208, 189, 186, 185, 187, 194, 174, 179]","[58, 46, 42, 43, 36, 39, 33, 28, 39]","[57, 54, 47, 47, 37, 37, 46, 50, 36]","[8, 5, 5, 3, 7, 6, 6, 5, 6]",2.563517915309446,1.0,307,1.8298225310558234,338,2.01459288435462,0.08940500966070798,6.8,15,"[168, 157, 164, 168, 183, 181, 206]","[45, 44, 37, 39, 46, 47, 49]","[61, 48, 64, 56, 44, 31, 34]","[0, 0, 2, 2, 1, 5, 5]",2.7103658536585367,1.0,328,1.9532723266570065,196,1.167199317148699,0.19651825237707685,7.515151515151516,33,"[235, 196, 197, 170, 189, 169, 177]","[55, 51, 52, 50, 42, 40, 38]","[31, 26, 20, 16, 37, 24, 42]","[7, 5, 4, 3, 4, 5, 5]",2.6055900621118013,1.0,322,1.9294177958498877,359,2.151121082950651,0.05392782659207761,7.0,9,"[157, 166, 165, 184, 196, 191, 202]","[43, 46, 36, 53, 46, 45, 53]","[38, 42, 74, 49, 73, 44, 39]","[1, 2, 1, 1, 1, 2, 1]"
FEDXC03,M,2,2.549520766773163,1.0,313,1.4518261210164327,481,2.2310810358111954,0.1855368844749435,7.175,40,"[233, 167, 156, 159, 180, 169, 168, 169, 165]","[54, 35, 35, 34, 40, 30, 26, 23, 36]","[48, 51, 59, 53, 63, 35, 55, 67, 50]","[5, 5, 1, 3, 2, 8, 6, 7, 3]",2.567685589519651,1.0,229,1.3681647772251349,369,2.204597392122597,0.1792355603351705,9.2,30,"[152, 169, 173, 183, 191, 177, 188]","[33, 36, 38, 40, 33, 35, 14]","[65, 65, 52, 55, 57, 45, 30]","[1, 2, 4, 4, 6, 5, 8]",2.7644927536231885,1.0,276,1.6491395793499042,294,1.7566921606118546,0.24498087954110898,8.390243902439025,41,"[281, 195, 187, 179, 171, 189, 199]","[29, 47, 45, 32, 32, 41, 50]","[27, 40, 48, 53, 53, 42, 31]","[16, 3, 3, 6, 4, 5, 4]",2.650735294117647,1.0,272,1.632555068723366,392,2.3527999519836746,0.08402856971370266,6.642857142857143,14,"[158, 154, 165, 174, 184, 192, 179]","[34, 30, 35, 43, 45, 41, 44]","[54, 55, 66, 43, 62, 56, 56]","[2, 2, 1, 2, 0, 5, 2]"
FEDXC04,M,2,2.6824146981627295,1.0,381,1.9900035546141068,475,2.4809755602144374,0.13580076750647446,7.923076923076923,26,"[268, 216, 209, 217, 197, 211, 194, 191, 0]","[60, 51, 45, 52, 44, 45, 42, 42, 0]","[41, 84, 76, 59, 63, 42, 50, 60, 0]","[8, 0, 2, 3, 2, 5, 4, 2, 0]",2.7941176470588234,1.0,340,2.0237559852913947,278,1.6547181291500226,0.10118779926456972,6.705882352941177,17,"[152, 166, 193, 196, 204, 206, 224]","[32, 39, 47, 57, 51, 51, 63]","[56, 50, 41, 32, 39, 35, 24]","[2, 3, 3, 1, 1, 4, 3]",2.796747967479675,1.0,369,2.2021451187772496,266,1.5874542048638167,0.1730683155678597,7.241379310344827,29,"[249, 227, 207, 207, 197, 206, 215]","[63, 60, 50, 51, 51, 43, 51]","[48, 36, 29, 30, 35, 36, 52]","[4, 3, 5, 4, 3, 7, 3]",2.7857142857142856,1.0,336,2.0125585249223827,302,1.8089067694242846,0.12578490780764892,7.238095238095238,21,"[166, 189, 224, 217, 86, 254, 254]","[40, 50, 51, 55, 24, 56, 60]","[50, 47, 43, 36, 32, 37, 57]","[3, 1, 4, 3, 0, 7, 3]"
FEDXC05,M,2,2.745721271393643,1.0,409,1.8972050885916434,370,1.7162980019044207,0.1437979407001001,7.354838709677419,31,"[264, 207, 183, 160, 126, 164, 213, 212, 192]","[56, 48, 36, 44, 28, 45, 51, 53, 48]","[29, 53, 51, 42, 30, 41, 47, 40, 37]","[9, 4, 4, 1, 3, 1, 3, 4, 2]",2.8409638554216867,1.0,415,2.4668608452713547,323,1.919990489211199,0.2139927480235392,7.5,36,"[181, 205, 239, 257, 266, 309, 312]","[44, 53, 61, 62, 62, 65, 68]","[68, 50, 46, 42, 42, 33, 39]","[0, 1, 4, 5, 5, 12, 9]",3.0,1.0,358,2.1393996135535147,191,1.1414115256668194,0.2689189458377323,7.4,45,"[254, 233, 217, 223, 231, 214, 226]","[55, 47, 47, 54, 49, 43, 63]","[31, 24, 25, 22, 31, 27, 31]","[7, 11, 6, 6, 6, 7, 2]",2.9566326530612246,1.0,392,2.3458187675475126,199,1.1908620784233546,0.3291327352426357,7.327272727272727,55,"[216, 223, 230, 251, 289, 265, 287]","[50, 54, 64, 53, 60, 58, 53]","[47, 35, 29, 20, 33, 13, 22]","[4, 5, 3, 10, 11, 7, 15]"
FEDXC06,M,2,2.8657142857142857,1.0,350,1.6230336818132636,209,0.9691829699970631,0.25504814999922715,7.763636363636364,55,"[264, 179, 188, 173, 162, 178, 175, 156, 164]","[42, 36, 36, 40, 29, 36, 37, 43, 51]","[24, 24, 42, 34, 26, 16, 12, 16, 15]","[11, 7, 7, 5, 7, 7, 7, 3, 1]",2.705084745762712,1.0,295,1.7542294770017544,227,1.34986471620135,0.10703773080010705,6.833333333333333,18,"[136, 140, 159, 166, 178, 186, 182]","[42, 40, 43, 39, 45, 41, 45]","[30, 29, 45, 37, 18, 23, 44]","[0, 1, 1, 3, 5, 6, 2]",2.92,1.0,325,1.9407812888778302,124,0.7404827071410798,0.17914904205026125,7.2,30,"[199, 209, 195, 174, 163, 173, 176]","[41, 48, 45, 35, 55, 45, 56]","[25, 14, 20, 13, 16, 18, 18]","[8, 7, 6, 6, 0, 2, 1]",2.769230769230769,1.0,338,2.0219308376024636,192,1.148552428460571,0.07178452677878569,6.833333333333333,12,"[169, 171, 174, 160, 173, 182, 181]","[50, 50, 52, 42, 52, 39, 53]","[37, 24, 26, 31, 31, 24, 19]","[0, 1, 0, 2, 2, 5, 2]"
FEDXC07,M,1,2.7514619883040936,1.0,342,1.668785630443681,332,1.6199907289687197,0.15614368471987658,7.375,32,"[83, 211, 202, 165, 184, 179, 177, 171, 137]","[13, 52, 52, 35, 37, 39, 49, 35, 30]","[5, 24, 31, 33, 41, 51, 40, 55, 52]","[3, 5, 5, 4, 5, 3, 2, 4, 1]",2.6893203883495147,1.0,309,1.8442806410218149,379,2.26207884448954,0.06565400340207107,6.363636363636363,11,"[183, 178, 169, 179, 182, 188, 201]","[43, 38, 34, 43, 47, 48, 56]","[65, 61, 67, 52, 51, 45, 38]","[1, 3, 2, 2, 0, 2, 1]",2.5740072202166067,1.0,277,1.6564784053156145,332,1.9853820598006644,0.13156146179401992,7.090909090909091,22,"[187, 184, 177, 176, 160, 162, 155]","[49, 43, 38, 42, 37, 32, 36]","[40, 63, 62, 41, 40, 37, 49]","[3, 2, 3, 4, 3, 5, 2]",2.992565055762082,1.0,269,1.6282635890399906,177,1.0713853355393246,0.19369678382631858,7.21875,32,"[173, 148, 154, 165, 189, 183, 201]","[37, 37, 32, 27, 44, 46, 46]","[44, 19, 27, 16, 26, 18, 27]","[4, 2, 3, 8, 5, 3, 7]"
FEDXC08,M,1,2.5835777126099706,1.0,341,1.5829195297661338,527,2.4463301823658434,0.19496369574832148,7.357142857142857,42,"[251, 178, 169, 169, 186, 195, 188, 195, 186]","[55, 39, 30, 37, 36, 36, 38, 34, 36]","[59, 40, 82, 59, 77, 65, 45, 45, 55]","[8, 5, 2, 2, 3, 2, 6, 9, 5]",2.550359712230216,1.0,278,1.668642427334524,312,1.87272099758407,0.15606008313200584,8.538461538461538,26,"[181, 175, 185, 184, 183, 160, 175]","[39, 36, 35, 44, 40, 40, 44]","[64, 48, 54, 40, 39, 36, 31]","[3, 4, 5, 4, 4, 3, 3]",2.6554054054054053,1.0,296,1.77255828266782,252,1.5090698892982792,0.1796511772974142,7.866666666666666,30,"[180, 186, 175, 179, 184, 174, 196]","[42, 49, 37, 42, 45, 36, 45]","[30, 34, 24, 32, 50, 39, 43]","[5, 3, 5, 4, 2, 5, 6]",3.024822695035461,1.0,282,1.722263031909028,147,0.8977754102504507,0.317580417231452,7.230769230769231,52,"[181, 178, 203, 203, 190, 213, 208]","[46, 51, 46, 34, 33, 42, 30]","[43, 21, 31, 15, 16, 9, 12]","[3, 3, 5, 9, 9, 10, 13]"
FEDXC09,M,1,2.685878962536023,1.0,347,1.6086225879353306,410,1.900677985744915,0.231789998261575,7.42,50,"[266, 196, 168, 180, 185, 189, 172, 179, 178]","[53, 44, 38, 35, 34, 37, 36, 36, 34]","[53, 37, 42, 39, 35, 41, 49, 54, 60]","[10, 5, 4, 6, 7, 6, 4, 5, 3]",2.6123076923076924,1.0,325,1.9483114633983882,294,1.7624725238126957,0.13788050356357823,7.130434782608695,23,"[188, 183, 183, 183, 193, 195, 182]","[47, 45, 54, 46, 43, 48, 42]","[65, 44, 31, 47, 35, 35, 37]","[2, 3, 1, 2, 5, 5, 5]",2.6,1.0,320,1.9298034012784948,299,1.8031600530695937,0.15076589072488242,7.24,25,"[193, 197, 177, 198, 203, 178, 166]","[47, 47, 42, 46, 50, 45, 43]","[50, 40, 35, 39, 50, 43, 42]","[4, 4, 6, 3, 4, 3, 1]",2.93730407523511,1.0,319,1.916702550596341,270,1.6222874252696304,0.18025415836329226,6.633333333333334,30,"[180, 163, 232, 232, 216, 205, 178]","[35, 35, 47, 50, 51, 52, 49]","[27, 18, 47, 36, 62, 42, 38]","[6, 7, 5, 9, 1, 2, 0]"
FEDXC10,M,1,3.0978593272171255,1.0,327,1.5147791333126592,168,0.7782351510597149,0.39374992761949856,7.6117647058823525,85,"[268, 219, 188, 196, 181, 210, 195, 190, 181]","[51, 33, 35, 36, 33, 42, 31, 29, 37]","[24, 25, 17, 15, 15, 18, 18, 15, 21]","[11, 11, 8, 10, 10, 8, 9, 11, 7]",2.8636363636363638,1.0,286,1.703603445594226,144,0.8577583782012885,0.3693126350588881,7.741935483870968,62,"[178, 212, 210, 211, 220, 207, 205]","[38, 39, 32, 47, 50, 40, 40]","[16, 17, 22, 17, 19, 26, 27]","[8, 10, 11, 9, 7, 8, 9]",2.9671532846715327,1.0,274,1.6446496366064596,117,0.7022773995728313,0.2581019502703568,7.744186046511628,43,"[181, 184, 182, 160, 210, 143, 203]","[31, 41, 38, 37, 49, 29, 49]","[16, 13, 26, 20, 15, 16, 11]","[9, 6, 6, 5, 6, 5, 6]",3.221014492753623,1.0,276,1.6682337139019474,115,0.6950973807924781,0.3143049026192075,6.865384615384615,52,"[184, 205, 175, 206, 199, 215, 177]","[51, 51, 33, 35, 47, 36, 23]","[11, 11, 20, 16, 15, 20, 22]","[4, 6, 6, 11, 4, 9, 12]"
