mouse_id,sex,order,epoch_E1_number_of_snacks,epoch_E1_number_of_meals,epoch_E1_number_of_mega_meals,epoch_E1_meal_size,epoch_E1_mega_meal_size,epoch_E1_snack_frequency,epoch_E1_meal_frequency,epoch_E1_mega_meal_frequency,epoch_E1_pellets_per_day,epoch_E1_snack_size,epoch_E1_number_of_pellets,epoch_E1_snacks_per_day,epoch_E1_meals_per_day,epoch_E1_mega_meals_per_day,epoch_E2_number_of_snacks,epoch_E2_number_of_meals,epoch_E2_number_of_mega_meals,epoch_E2_meal_size,epoch_E2_mega_meal_size,epoch_E2_snack_frequency,epoch_E2_meal_frequency,epoch_E2_mega_meal_frequency,epoch_E2_pellets_per_day,epoch_E2_snack_size,epoch_E2_number_of_pellets,epoch_E2_snacks_per_day,epoch_E2_meals_per_day,epoch_E2_mega_meals_per_day,epoch_E3_number_of_snacks,epoch_E3_number_of_meals,epoch_E3_number_of_mega_meals,epoch_E3_meal_size,epoch_E3_mega_meal_size,epoch_E3_snack_frequency,epoch_E3_meal_frequency,epoch_E3_mega_meal_frequency,epoch_E3_pellets_per_day,epoch_E3_snack_size,epoch_E3_number_of_pellets,epoch_E3_snacks_per_day,epoch_E3_meals_per_day,epoch_E3_mega_meals_per_day,epoch_E4_number_of_snacks,epoch_E4_number_of_meals,epoch_E4_number_of_mega_meals,epoch_E4_meal_size,epoch_E4_mega_meal_size,epoch_E4_snack_frequency,epoch_E4_meal_frequency,epoch_E4_mega_meal_frequency,epoch_E4_pellets_per_day,epoch_E4_snack_size,epoch_E4_number_of_pellets,epoch_E4_snacks_per_day,epoch_E4_meals_per_day,epoch_E4_mega_meals_per_day
FEDXC01,M,2,99,246,36,2.926829268292683,8.027777777777779,0.5927108538927832,1.472796667248734,0.2155312195973757,"[221, 150, 147, 147, 146, 167, 158, 167, 162]",1.0,1108,"[42, 26, 24, 19, 14, 12, 4, 13, 9]","[58, 31, 35, 35, 44, 34, 34, 32, 28]","[4, 4, 3, 4, 0, 6, 7, 8, 8]",162,290,19,2.720689655172414,6.947368421052632,0.9648297072258003,1.7271642907128524,0.1131590397363593,"[122, 132, 137, 150, 164, 176, 182]",1.0,1083,"[16, 14, 17, 29, 27, 24, 30]","[32, 37, 35, 43, 43, 49, 44]","[2, 2, 3, 2, 2, 2, 6]",65,243,57,3.2551440329218106,7.421052631578948,0.38702762781835504,1.4468879009209274,0.3393934582407114,"[210, 187, 176, 163, 178, 162, 185]",1.0,1279,"[20, 12, 5, 1, 10, 9, 6]","[38, 35, 34, 32, 37, 24, 38]","[10, 8, 8, 7, 7, 9, 8]",168,291,14,2.718213058419244,6.571428571428571,1.007521427322022,1.7451710437542167,0.08396011894350183,"[118, 124, 115, 165, 183, 162, 169]",1.0,1051,"[16, 5, 26, 36, 33, 24, 28]","[35, 38, 33, 43, 53, 46, 40]","[1, 1, 0, 1, 2, 4, 4]"
FEDXC02,M,2,304,265,38,2.758490566037736,7.2631578947368425,1.7943631027528655,1.5641652047023333,0.22429538784410818,"[271, 217, 188, 189, 185, 182, 199, 177, 177]",1.0,1311,"[54, 53, 44, 52, 35, 36, 48, 48, 37]","[54, 45, 43, 43, 36, 39, 35, 27, 38]","[7, 6, 5, 3, 7, 5, 6, 6, 6]",338,307,15,2.563517915309446,6.8,2.01459288435462,1.8298225310558234,0.08940500966070798,"[153, 159, 162, 166, 182, 181, 206]",1.0,1227,"[54, 48, 64, 57, 47, 32, 30]","[41, 45, 39, 36, 45, 50, 47]","[0, 0, 1, 3, 1, 3, 7]",196,328,33,2.7103658536585367,7.515151515151516,1.167199317148699,1.9532723266570065,0.19651825237707685,"[208, 206, 189, 179, 185, 167, 186]",1.0,1333,"[27, 27, 20, 18, 38, 22, 38]","[48, 52, 52, 50, 46, 37, 41]","[6, 6, 3, 4, 2, 6, 6]",359,322,9,2.6055900621118013,7.0,2.151121082950651,1.9294177958498877,0.05392782659207761,"[143, 167, 160, 185, 192, 189, 210]",1.0,1261,"[29, 45, 68, 54, 77, 45, 36]","[41, 45, 36, 51, 47, 45, 54]","[1, 2, 1, 1, 0, 2, 2]"
FEDXC03,M,2,387,227,31,2.537444933920705,7.161290322580645,2.282490096430783,1.3388249402836894,0.1828351240034994,"[220, 161, 161, 163, 175, 168, 166, 171, 165]",1.0,1185,"[47, 49, 60, 54, 64, 37, 51, 66, 50]","[50, 35, 34, 35, 41, 30, 27, 22, 37]","[5, 4, 2, 3, 1, 8, 6, 7, 3]",369,229,30,2.567685589519651,9.2,2.204597392122597,1.3681647772251349,0.1792355603351705,"[144, 165, 180, 181, 192, 169, 149]",1.0,1233,"[62, 66, 52, 56, 58, 43, 30]","[32, 37, 37, 39, 33, 34, 16]","[1, 1, 5, 4, 6, 5, 7]",294,276,41,2.7644927536231885,8.390243902439025,1.7566921606118546,1.6491395793499042,0.24498087954110898,"[262, 202, 188, 173, 175, 184, 198]",1.0,1401,"[27, 38, 51, 52, 53, 40, 33]","[27, 46, 47, 31, 33, 39, 52]","[15, 4, 2, 6, 4, 5, 3]",392,272,14,2.650735294117647,6.642857142857143,2.3527999519836746,1.632555068723366,0.08402856971370266,"[150, 153, 164, 168, 190, 187, 187]",1.0,1206,"[53, 50, 64, 51, 62, 55, 56]","[34, 29, 35, 43, 44, 42, 45]","[1, 3, 1, 0, 2, 3, 3]"
FEDXC04,M,2,357,272,18,2.6801470588235294,8.0,2.4485363460567555,1.865551501757528,0.12345561408689523,"[245, 228, 205, 219, 197, 205, 200, 191, 13]",1.0,1230,"[35, 83, 78, 59, 64, 43, 52, 53, 8]","[54, 55, 47, 49, 44, 46, 42, 42, 2]","[8, 0, 1, 4, 2, 4, 4, 3, 0]",278,340,17,2.7941176470588234,6.705882352941177,1.6547181291500226,2.0237559852913947,0.10118779926456972,"[150, 162, 180, 197, 202, 214, 212]",1.0,1342,"[56, 50, 40, 29, 38, 40, 21]","[31, 37, 44, 58, 51, 52, 61]","[2, 3, 3, 1, 1, 4, 2]",266,369,29,2.796747967479675,7.241379310344827,1.5874542048638167,2.2021451187772496,0.1730683155678597,"[233, 225, 206, 212, 202, 204, 205]",1.0,1508,"[46, 37, 27, 31, 35, 37, 49]","[60, 60, 50, 50, 53, 43, 47]","[4, 2, 5, 5, 3, 6, 4]",302,336,21,2.7857142857142856,7.238095238095238,1.8089067694242846,2.0125585249223827,0.12578490780764892,"[145, 193, 211, 231, 101, 234, 261]",1.0,1390,"[46, 49, 39, 38, 35, 36, 57]","[33, 50, 51, 57, 29, 51, 61]","[3, 1, 4, 3, 0, 6, 4]"
FEDXC05,M,2,291,310,18,2.729032258064516,7.0,1.7177487587477946,1.8299041759856232,0.1062525005411007,"[250, 208, 186, 163, 132, 152, 219, 207, 191]",1.0,1263,"[28, 51, 52, 43, 30, 38, 50, 41, 36]","[51, 48, 38, 44, 31, 41, 53, 53, 46]","[9, 4, 4, 1, 3, 1, 3, 3, 3]",323,415,36,2.8409638554216867,7.5,1.919990489211199,2.4668608452713547,0.2139927480235392,"[164, 202, 228, 261, 265, 313, 296]",1.0,1772,"[62, 52, 49, 40, 42, 32, 43]","[40, 51, 58, 67, 60, 67, 69]","[0, 1, 3, 5, 5, 12, 6]",191,358,45,3.0,7.4,1.1414115256668194,2.1393996135535147,0.2689189458377323,"[222, 240, 211, 230, 218, 230, 219]",1.0,1598,"[30, 24, 23, 21, 28, 31, 30]","[48, 47, 46, 58, 50, 45, 56]","[6, 12, 6, 5, 5, 7, 4]",199,392,55,2.9566326530612246,7.327272727272727,1.1908620784233546,2.3458187675475126,0.3291327352426357,"[189, 219, 219, 264, 282, 275, 283]",1.0,1761,"[42, 36, 28, 22, 35, 13, 17]","[43, 55, 59, 59, 60, 56, 57]","[4, 4, 3, 10, 9, 10, 13]"
FEDXC06,M,2,163,276,37,2.7971014492753623,7.324324324324325,0.9592796574841959,1.6243017513229328,0.21775059709763955,"[247, 186, 193, 167, 167, 169, 177, 155, 160]",1.0,1206,"[24, 22, 41, 37, 24, 18, 12, 14, 15]","[42, 32, 39, 37, 32, 33, 39, 41, 50]","[9, 9, 7, 5, 7, 7, 6, 4, 1]",227,295,18,2.705084745762712,6.833333333333333,1.34986471620135,1.7542294770017544,0.10703773080010705,"[124, 144, 152, 164, 180, 189, 177]",1.0,1148,"[27, 31, 42, 39, 20, 22, 42]","[38, 42, 41, 39, 44, 45, 41]","[0, 1, 1, 3, 5, 5, 3]",124,325,30,2.92,7.2,0.7404827071410798,1.9407812888778302,0.17914904205026125,"[188, 208, 192, 174, 165, 180, 168]",1.0,1289,"[24, 15, 14, 15, 20, 17, 12]","[39, 46, 46, 37, 52, 47, 55]","[7, 8, 6, 5, 1, 2, 1]",192,338,12,2.769230769230769,6.833333333333333,1.148552428460571,2.0219308376024636,0.07178452677878569,"[147, 176, 170, 172, 171, 177, 178]",1.0,1210,"[28, 33, 25, 30, 28, 26, 20]","[44, 49, 52, 47, 51, 39, 49]","[0, 1, 0, 2, 2, 4, 3]"
FEDXC07,M,1,311,290,27,2.6655172413793102,7.222222222222222,1.832261949961378,1.708540081957555,0.15907097314777235,"[1, 229, 204, 183, 173, 192, 167, 173, 167]",1.0,1279,"[1, 22, 30, 28, 49, 42, 43, 56, 55]","[0, 51, 54, 42, 35, 38, 45, 34, 38]","[0, 5, 5, 5, 4, 5, 2, 4, 2]",379,309,11,2.6893203883495147,6.363636363636363,2.26207884448954,1.8442806410218149,0.06565400340207107,"[166, 180, 163, 189, 175, 194, 190]",1.0,1280,"[58, 64, 66, 57, 48, 44, 39]","[40, 37, 32, 44, 48, 49, 51]","[1, 3, 2, 2, 0, 2, 1]",332,277,22,2.5740072202166067,7.090909090909091,1.9853820598006644,1.6564784053156145,0.13156146179401992,"[162, 189, 174, 175, 160, 167, 154]",1.0,1201,"[31, 67, 54, 48, 44, 34, 45]","[42, 44, 43, 35, 42, 33, 34]","[3, 2, 2, 5, 1, 6, 3]",177,269,32,2.992565055762082,7.21875,1.0713853355393246,1.6282635890399906,0.19369678382631858,"[145, 148, 153, 166, 196, 190, 199]",1.0,1213,"[33, 26, 22, 20, 28, 19, 24]","[31, 38, 32, 25, 47, 48, 44]","[4, 1, 4, 8, 4, 3, 8]"
FEDXC08,M,1,430,252,29,2.5912698412698414,7.620689655172414,2.527553269654666,1.4812637766348273,0.1704628949301984,"[231, 182, 168, 172, 189, 194, 184, 195, 183]",1.0,1304,"[56, 41, 79, 58, 79, 62, 46, 50, 46]","[51, 38, 31, 37, 37, 37, 35, 37, 34]","[7, 6, 2, 2, 3, 2, 6, 8, 6]",312,278,26,2.550359712230216,8.538461538461538,1.87272099758407,1.668642427334524,0.15606008313200584,"[161, 176, 192, 180, 180, 167, 173]",1.0,1243,"[57, 51, 54, 41, 34, 41, 32]","[33, 37, 38, 42, 41, 43, 40]","[3, 4, 5, 4, 4, 2, 4]",252,296,30,2.6554054054054053,7.866666666666666,1.5090698892982792,1.77255828266782,0.1796511772974142,"[162, 184, 178, 185, 179, 177, 193]",1.0,1274,"[25, 31, 30, 30, 52, 38, 40]","[37, 52, 33, 45, 43, 39, 43]","[5, 2, 6, 4, 2, 4, 7]",147,282,52,3.024822695035461,7.230769230769231,0.8977754102504507,1.722263031909028,0.317580417231452,"[170, 169, 200, 202, 196, 213, 214]",1.0,1376,"[39, 22, 32, 14, 17, 9, 13]","[43, 50, 43, 37, 32, 42, 32]","[3, 2, 6, 8, 10, 10, 13]"
FEDXC09,M,1,324,255,35,2.6941176470588237,7.371428571428571,1.9051881422292205,1.4994536304581827,0.20580736104327998,"[249, 195, 174, 176, 188, 186, 172, 181, 175]",1.0,1269,"[52, 34, 43, 43, 32, 40, 50, 52, 63]","[50, 42, 43, 33, 33, 36, 37, 37, 34]","[9, 6, 2, 6, 8, 6, 4, 5, 2]",294,325,23,2.6123076923076924,7.130434782608695,1.7624725238126957,1.9483114633983882,0.13788050356357823,"[164, 186, 187, 178, 195, 189, 180]",1.0,1307,"[59, 46, 33, 47, 35, 37, 31]","[39, 47, 54, 44, 45, 48, 41]","[2, 3, 1, 2, 5, 4, 5]",299,320,25,2.6,7.24,1.8031600530695937,1.9298034012784948,0.15076589072488242,"[168, 192, 183, 196, 197, 187, 175]",1.0,1312,"[38, 42, 37, 41, 52, 41, 50]","[42, 45, 45, 44, 49, 48, 44]","[4, 3, 6, 4, 2, 4, 1]",270,319,30,2.93730407523511,6.633333333333334,1.6222874252696304,1.916702550596341,0.18025415836329226,"[156, 159, 228, 237, 226, 195, 197]",1.0,1406,"[22, 19, 38, 46, 59, 43, 41]","[30, 34, 47, 52, 51, 51, 52]","[6, 6, 6, 7, 3, 1, 1]"
FEDXC10,M,1,123,247,63,3.08502024291498,7.507936507936508,0.7233332135401181,1.4525471849138958,0.37048774352054836,"[252, 218, 195, 187, 179, 203, 193, 208, 177]",1.0,1358,"[20, 25, 21, 15, 12, 19, 19, 15, 17]","[47, 33, 36, 39, 29, 41, 33, 31, 34]","[11, 11, 8, 8, 11, 8, 8, 12, 8]",144,286,62,2.8636363636363638,7.741935483870968,0.8577583782012885,1.703603445594226,0.3693126350588881,"[161, 209, 208, 213, 209, 215, 202]",1.0,1443,"[15, 18, 16, 22, 17, 28, 24]","[34, 37, 33, 51, 45, 41, 40]","[7, 11, 11, 7, 7, 9, 9]",117,274,43,2.9671532846715327,7.744186046511628,0.7022773995728313,1.6446496366064596,0.2581019502703568,"[154, 185, 177, 179, 201, 164, 182]",1.0,1263,"[15, 14, 24, 18, 19, 17, 9]","[28, 35, 42, 41, 46, 33, 42]","[7, 8, 4, 6, 6, 6, 6]",115,276,52,3.221014492753623,6.865384615384615,0.6950973807924781,1.6682337139019474,0.3143049026192075,"[154, 206, 181, 208, 196, 203, 204]",1.0,1361,"[8, 14, 19, 14, 16, 19, 25]","[46, 47, 38, 33, 46, 38, 27]","[3, 7, 5, 12, 4, 7, 13]"
