,,,,,,,,Epoch,Order
FEDXC1,147,147,146,167,158,167,162,E1,NRPR
FEDXC2,180,189,185,182,199,177,177,E1,NRPR
FEDXC3,148,163,175,168,166,171,165,E1,NRPR
FEDXC4,216,205,219,197,205,200,191,E1,NRPR
FEDXC5,175,163,132,152,219,207,191,E1,NRPR
FEDXC6,185,167,167,169,177,155,160,E1,NRPR
FEDXC1,135,132,137,150,164,176,181,E2,NRPR
FEDXC2,166,159,162,166,182,181,206,E2,NRPR
FEDXC3,159,165,180,181,192,169,149,E2,NRPR
FEDXC4,162,162,180,197,202,214,212,E2,NRPR
FEDXC5,176,202,228,261,265,313,296,E2,NRPR
FEDXC6,141,144,152,164,180,189,177,E2,NRPR
FEDXC1,229,187,176,163,178,162,185,E3,NRPR
FEDXC2,225,206,189,179,185,167,186,E3,NRPR
FEDXC3,314,202,188,173,175,184,198,E3,NRPR
FEDXC4,257,225,206,212,202,204,205,E3,NRPR
FEDXC5,264,240,211,230,218,230,219,E3,NRPR
FEDXC6,205,208,192,174,165,180,168,E3,NRPR
FEDXC1,135,124,115,165,183,162,169,E4,NRPR
FEDXC2,155,167,160,185,192,189,210,E4,NRPR
FEDXC3,168,153,164,168,190,187,187,E4,NRPR
FEDXC4,165,193,211,231,101,233,261,E4,NRPR
FEDXC5,216,219,219,264,282,275,283,E4,NRPR
FEDXC6,160,176,170,172,171,177,178,E4,NRPR
FEDXC7,191,183,173,192,167,173,167,E1,NR
FEDXC8,160,172,189,194,184,195,183,E1,NR
FEDXC9,165,176,188,186,172,181,175,E1,NR
FEDXC10,184,187,179,203,193,208,177,E1,NR
FEDXC11,168,173,192,210,186,184,177,E1,NR
FEDXC12,184,187,190,203,208,219,181,E1,NR
FEDXC7,185,180,163,189,175,194,190,E2,NR
FEDXC8,179,176,192,180,180,167,173,E2,NR
FEDXC9,180,186,187,178,195,189,180,E2,NR
FEDXC10,176,209,208,213,209,215,202,E2,NR
FEDXC11,178,180,187,196,176,188,181,E2,NR
FEDXC12,188,191,185,199,187,215,209,E2,NR
FEDXC7,184,189,174,175,160,167,154,E3,NR
FEDXC8,175,184,178,185,179,177,193,E3,NR
FEDXC9,195,192,183,196,197,187,175,E3,NR
FEDXC10,179,185,177,179,200,164,181,E3,NR
FEDXC11,204,197,164,195,196,173,187,E3,NR
FEDXC12,199,215,214,219,195,209,195,E3,NR
FEDXC7,164,148,153,166,196,190,199,E4,NR
FEDXC8,185,169,200,202,196,213,214,E4,NR
FEDXC9,169,159,228,237,226,195,197,E4,NR
FEDXC10,174,206,181,208,196,203,204,E4,NR
FEDXC11,179,204,167,157,163,144,145,E4,NR
FEDXC12,225,239,207,229,275,215,230,E4,NR
