"epoch","day_in_epoch","n","mean","sd","median","min","max"
"E1",1,6,49.8333333333333,18.3348484222441,48,24,78
"E1",2,6,44,14.5876660230484,47.5,19,59
"E1",3,6,38.5,20.9547130736739,32.5,14,64
"E1",4,6,30.6666666666667,12.5166555703457,36.5,12,43
"E1",5,6,36.1666666666667,22.0037875527525,49,4,52
"E1",6,6,39.1666666666667,21.4980619281522,44.5,13,66
"E1",7,6,25.8333333333333,17.4976188856275,25.5,8,50
"E2",1,6,46.1666666666667,19.6816327235996,55,16,62
"E2",2,6,43.5,18.2619823677497,49,14,66
"E2",3,6,44,15.7353106102168,45.5,17,64
"E2",4,6,41.6666666666667,12.4204133049857,39.5,29,57
"E2",5,6,38.6666666666667,13.7064461720267,40,20,58
"E2",6,6,32.1666666666667,8.35264429187947,32,22,43
"E2",7,6,32.6666666666667,8.38252149813328,30,21,43
"E3",1,6,29,8.98888202169769,27,20,46
"E3",2,6,25.5,10.821275340735,25.5,12,38
"E3",3,6,23.3333333333333,15.5777619273972,21.5,5,51
"E3",4,6,23,17.2162713733259,19.5,1,52
"E3",5,6,30.6666666666667,14.9621745300162,31.5,10,53
"E3",6,6,26,12.0664825031987,26.5,9,40
"E3",7,6,28,16.1864140562386,31.5,6,49
"E4",1,6,35.6666666666667,13.6918467222894,35.5,16,53
"E4",2,6,36.3333333333333,16.8245851855749,40.5,5,50
"E4",3,6,41.6666666666667,19.5414090245987,33.5,25,68
"E4",4,6,38.5,12.2270192606375,37,22,54
"E4",5,6,45,19.7281524730523,35,28,77
"E4",6,6,33.1666666666667,15.2763433670059,31,13,55
"E4",7,6,35.6666666666667,17.4432412890112,32,17,57
