"contrast","epoch","estimate","SE","df","t.ratio","p.value"
"day_in_epoch_factor1 - day_in_epoch_factor2","E1",5.83333333333314,5.79663563692562,134.999999999993,1.00633086133166,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E1",11.3333333333332,5.79663563692563,134.999999999993,1.95515710201583,0.736825444461164
"day_in_epoch_factor1 - day_in_epoch_factor4","E1",19.1666666666665,5.79663563692563,134.999999999994,3.30651568723267,0.0242098065851819
"day_in_epoch_factor1 - day_in_epoch_factor5","E1",13.6666666666665,5.79663563692563,134.999999999994,2.3576894465485,0.356850613572844
"day_in_epoch_factor1 - day_in_epoch_factor6","E1",10.6666666666665,5.79663563692562,134.999999999994,1.84014786072078,0.883255023950756
"day_in_epoch_factor1 - day_in_epoch_factor7","E1",23.9999999999998,5.79663563692562,134.999999999994,4.14033268662178,0.00127577730508236
"day_in_epoch_factor2 - day_in_epoch_factor3","E1",5.50000000000002,5.79663563692563,134.999999999998,0.948826240684169,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E1",13.3333333333334,5.79663563692563,134.999999999998,2.30018482590101,0.390510876788481
"day_in_epoch_factor2 - day_in_epoch_factor5","E1",7.83333333333336,5.79663563692563,134.999999999998,1.35135858521684,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E1",4.83333333333336,5.79663563692563,134.999999999998,0.833816999389119,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E1",18.1666666666667,5.79663563692562,134.999999999998,3.13400182529012,0.0402002314104132
"day_in_epoch_factor3 - day_in_epoch_factor4","E1",7.83333333333335,5.79663563692563,134.999999999998,1.35135858521684,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E1",2.33333333333333,5.79663563692563,134.999999999998,0.402532344532676,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E1",-0.666666666666666,5.79663563692563,134.999999999998,-0.11500924129505,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E1",12.6666666666666,5.79663563692562,134.999999999997,2.18517558460595,0.459020082677746
"day_in_epoch_factor4 - day_in_epoch_factor5","E1",-5.50000000000002,5.79663563692563,134.999999999998,-0.948826240684167,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E1",-8.50000000000001,5.79663563692563,134.999999999998,-1.46636782651189,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E1",4.8333333333333,5.79663563692562,134.999999999998,0.833816999389109,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E1",-3,5.79663563692563,134.999999999998,-0.517541585827726,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E1",10.3333333333333,5.79663563692562,134.999999999998,1.78264324007328,0.922702924498318
"day_in_epoch_factor6 - day_in_epoch_factor7","E1",13.3333333333333,5.79663563692562,134.999999999998,2.300184825901,0.390510876788481
"day_in_epoch_factor1 - day_in_epoch_factor2","E2",2.66666666666675,5.79663563692563,135,0.460036965180216,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E2",2.16666666666675,5.79663563692563,135,0.373780034208927,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E2",4.50000000000008,5.79663563692563,135,0.776312378741603,1
