"epoch","day_in_epoch","n","mean","sd","median","min","max"
"E1",1,6,3.66666666666667,2.16024689946929,3.5,1,7
"E1",2,6,3.33333333333333,1.36626010212795,3.5,1,5
"E1",3,6,3.33333333333333,3.01109061083632,2.5,0,7
"E1",4,6,5.16666666666667,2.48327740429189,5.5,1,8
"E1",5,6,5.33333333333333,1.50554530541816,6,3,7
"E1",6,6,5.16666666666667,2.13697605664328,5,3,8
"E1",7,6,3.5,3.01662062579967,3,0,8
"E2",1,6,0.833333333333333,0.983192080250175,0.5,0,2
"E2",2,6,1.33333333333333,1.03279555898864,1,0,3
"E2",3,6,2.66666666666667,1.50554530541816,3,1,5
"E2",4,6,3,1.4142135623731,3,1,5
"E2",5,6,3.33333333333333,2.25092573548455,3.5,1,6
"E2",6,6,5.16666666666667,3.54494945897211,4.5,2,12
"E2",7,6,5.16666666666667,2.13697605664328,6,2,7
"E3",1,6,8,3.9496835316263,6.5,4,15
"E3",2,6,6.66666666666667,3.50238014308365,7,2,12
"E3",3,6,5,2.19089023002066,5.5,2,8
"E3",4,6,5.33333333333333,1.03279555898864,5,4,7
"E3",5,6,3.66666666666667,2.16024689946929,3.5,1,7
"E3",6,6,5.83333333333333,2.31660671385254,6,2,9
"E3",7,6,4.33333333333333,2.42212028327799,4,1,8
"E4",1,6,1.66666666666667,1.50554530541816,1,0,4
"E4",2,6,2,1.26491106406735,1.5,1,4
"E4",3,6,1.5,1.6431676725155,1,0,4
"E4",4,6,2.83333333333333,3.65604522218567,1.5,0,10
"E4",5,6,2.5,3.33166624979154,2,0,9
"E4",6,6,4.83333333333333,2.85773803324704,4,2,10
"E4",7,6,4.83333333333333,4.07021702943058,3.5,2,13
