"contrast","epoch","estimate","SE","df","t.ratio","p.value"
"day_in_epoch_factor1 - day_in_epoch_factor2","E1",0.333333333333351,1.36999851520501,134.999999999978,0.24330926612973,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E1",0.333333333333353,1.36999851520501,134.999999999979,0.243309266129731,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E1",-1.49999999999998,1.36999851520501,134.999999999978,-1.09489169758372,1
"day_in_epoch_factor1 - day_in_epoch_factor5","E1",-1.66666666666665,1.36999851520501,134.999999999976,-1.21654633064857,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E1",-1.49999999999998,1.36999851520501,134.999999999979,-1.09489169758371,1
"day_in_epoch_factor1 - day_in_epoch_factor7","E1",0.166666666666686,1.36999851520501,134.999999999979,0.121654633064873,1
"day_in_epoch_factor2 - day_in_epoch_factor3","E1",1.38777878078145e-15,1.36999851520501,134.999999999998,1.01297831010698e-15,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E1",-1.83333333333333,1.36999851520501,134.999999999998,-1.33820096371344,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E1",-2,1.36999851520501,134.999999999998,-1.4598555967783,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E1",-1.83333333333333,1.36999851520501,134.999999999998,-1.33820096371344,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E1",-0.166666666666665,1.36999851520501,134.999999999998,-0.121654633064858,1
"day_in_epoch_factor3 - day_in_epoch_factor4","E1",-1.83333333333334,1.36999851520501,134.999999999998,-1.33820096371345,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E1",-2,1.36999851520501,134.999999999998,-1.4598555967783,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E1",-1.83333333333333,1.36999851520501,134.999999999999,-1.33820096371345,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E1",-0.166666666666667,1.36999851520501,134.999999999998,-0.121654633064859,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E1",-0.166666666666665,1.36999851520501,134.999999999998,-0.121654633064858,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E1",1.33226762955019e-15,1.36999851520501,134.999999999998,9.72459177702702e-16,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E1",1.66666666666667,1.36999851520501,134.999999999998,1.21654633064859,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E1",0.166666666666667,1.36999851520501,134.999999999998,0.121654633064859,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E1",1.83333333333333,1.36999851520501,134.999999999998,1.33820096371344,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E1",1.66666666666667,1.36999851520501,134.999999999999,1.21654633064859,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E2",-0.500000000000001,1.36999851520501,134.999999999994,-0.364963899194577,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E2",-1.83333333333333,1.36999851520501,134.999999999994,-1.33820096371345,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E2",-2.16666666666667,1.36999851520501,134.999999999995,-1.58151022984316,1
"day_in_epoch_factor1 - day_in_epoch_factor5","E2",-2.5,1.36999851520501,134.999999999994,-1.82481949597288,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E2",-4.33333333333333,1.36999851520501,134.999999999994,-3.16302045968633,0.0405096822974368
"day_in_epoch_factor1 - day_in_epoch_factor7","E2",-4.33333333333333,1.36999851520501,134.999999999994,-3.16302045968633,0.0405096822974368
"day_in_epoch_factor2 - day_in_epoch_factor3","E2",-1.33333333333333,1.36999851520501,134.999999999999,-0.973237064518868,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E2",-1.66666666666667,1.36999851520501,134.999999999999,-1.21654633064859,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E2",-2,1.36999851520501,135,-1.4598555967783,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E2",-3.83333333333333,1.36999851520501,134.999999999999,-2.79805656049175,0.111980812624996
"day_in_epoch_factor2 - day_in_epoch_factor7","E2",-3.83333333333333,1.36999851520501,135,-2.79805656049175,0.111980812624996
"day_in_epoch_factor3 - day_in_epoch_factor4","E2",-0.333333333333333,1.36999851520501,135,-0.243309266129717,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E2",-0.666666666666667,1.36999851520501,135,-0.486618532259435,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E2",-2.5,1.36999851520501,134.999999999999,-1.82481949597288,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E2",-2.5,1.36999851520501,135,-1.82481949597288,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E2",-0.333333333333334,1.36999851520501,135,-0.243309266129718,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E2",-2.16666666666667,1.36999851520501,134.999999999999,-1.58151022984316,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E2",-2.16666666666667,1.36999851520501,135,-1.58151022984316,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E2",-1.83333333333333,1.36999851520501,135,-1.33820096371344,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E2",-1.83333333333333,1.36999851520501,135,-1.33820096371344,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E2",5.55111512312578e-17,1.36999851520501,135,4.05191324042793e-17,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E3",1.33333333333333,1.36999851520501,134.999999999995,0.973237064518865,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E3",2.99999999999999,1.36999851520501,134.999999999995,2.18978339516745,0.574897908916505
"day_in_epoch_factor1 - day_in_epoch_factor4","E3",2.66666666666666,1.36999851520501,134.999999999995,1.94647412903773,0.91246915725019
"day_in_epoch_factor1 - day_in_epoch_factor5","E3",4.33333333333333,1.36999851520501,134.999999999995,3.16302045968632,0.0405096822974375
"day_in_epoch_factor1 - day_in_epoch_factor6","E3",2.16666666666666,1.36999851520501,134.999999999995,1.58151022984316,1
"day_in_epoch_factor1 - day_in_epoch_factor7","E3",3.66666666666666,1.36999851520501,134.999999999995,2.67640192742689,0.167276810608108
"day_in_epoch_factor2 - day_in_epoch_factor3","E3",1.66666666666667,1.36999851520501,135,1.21654633064859,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E3",1.33333333333333,1.36999851520501,135,0.973237064518869,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E3",3,1.36999851520501,135,2.18978339516745,0.574897908916505
"day_in_epoch_factor2 - day_in_epoch_factor6","E3",0.833333333333333,1.36999851520501,135,0.608273165324293,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E3",2.33333333333333,1.36999851520501,135,1.70316486290802,1
"day_in_epoch_factor3 - day_in_epoch_factor4","E3",-0.333333333333333,1.36999851520501,135,-0.243309266129717,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E3",1.33333333333333,1.36999851520501,135,0.973237064518868,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E3",-0.833333333333333,1.36999851520501,135,-0.608273165324293,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E3",0.666666666666667,1.36999851520501,135,0.486618532259434,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E3",1.66666666666667,1.36999851520501,135,1.21654633064858,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E3",-0.5,1.36999851520501,135,-0.364963899194576,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E3",1,1.36999851520501,135,0.729927798389151,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E3",-2.16666666666667,1.36999851520501,135,-1.58151022984316,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E3",-0.666666666666666,1.36999851520501,135,-0.486618532259434,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E3",1.5,1.36999851520501,135,1.09489169758373,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E4",-0.333333333333334,1.36999851520501,134.999999999997,-0.243309266129718,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E4",0.166666666666665,1.36999851520501,134.999999999997,0.121654633064858,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E4",-1.16666666666667,1.36999851520501,134.999999999997,-0.851582431454011,1
"day_in_epoch_factor1 - day_in_epoch_factor5","E4",-0.833333333333335,1.36999851520501,134.999999999997,-0.608273165324294,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E4",-3.16666666666667,1.36999851520501,134.999999999997,-2.31143802823231,0.424138724652959
"day_in_epoch_factor1 - day_in_epoch_factor7","E4",-3.16666666666667,1.36999851520501,134.999999999997,-2.31143802823231,0.424138724652959
"day_in_epoch_factor2 - day_in_epoch_factor3","E4",0.499999999999999,1.36999851520501,135,0.364963899194575,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E4",-0.833333333333334,1.36999851520501,135,-0.608273165324293,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E4",-0.500000000000001,1.36999851520501,135,-0.364963899194576,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E4",-2.83333333333333,1.36999851520501,135,-2.0681287621026,0.689126163988586
"day_in_epoch_factor2 - day_in_epoch_factor7","E4",-2.83333333333333,1.36999851520501,135,-2.0681287621026,0.689126163988586
"day_in_epoch_factor3 - day_in_epoch_factor4","E4",-1.33333333333333,1.36999851520501,135,-0.973237064518868,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E4",-1,1.36999851520501,135,-0.729927798389152,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E4",-3.33333333333333,1.36999851520501,135,-2.43309266129717,0.341861299350775
"day_in_epoch_factor3 - day_in_epoch_factor7","E4",-3.33333333333333,1.36999851520501,135,-2.43309266129717,0.341861299350775
"day_in_epoch_factor4 - day_in_epoch_factor5","E4",0.333333333333333,1.36999851520501,135,0.243309266129717,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E4",-2,1.36999851520501,135,-1.4598555967783,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E4",-2,1.36999851520501,135,-1.4598555967783,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E4",-2.33333333333333,1.36999851520501,135,-1.70316486290802,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E4",-2.33333333333333,1.36999851520501,135,-1.70316486290802,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E4",2.77555756156289e-16,1.36999851520501,135.000000000002,2.02595662021396e-16,1
